"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"832303516412555264","","","2017-02-16 18:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Burgher names of Ceylon: `The term “Burgher” was defined by law in 1883, by the then Chief Justice of Ceylon, Sir... https://t.co/YdnB5LWXWK","","","","http://fb.me/30g6kzi1G"
"832228035726307329","","","2017-02-16 14:00:00 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Eurasian: `What's In A Name? Eurasian: People of mixed Asian and European ancestry. Originally used in British... https://t.co/5fpxH6XSGZ","","","","http://fb.me/7FngvFVjp"
"832092160887574529","","","2017-02-16 05:00:05 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","The 'One Drop Rule' Mentality: `""Contrary to popular belief, only the USA implemented the one drop rule.  Even... https://t.co/mFbeiRdpR5","","","","http://fb.me/5r9DcfZrf"
"832001525517914112","","","2017-02-15 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","French Creoles: `...Not only is this Creole Web site meant to open the doors to a understanding of Americans' ""... https://t.co/Yov06HfEKj","","","","http://fb.me/2MWv1zwAp"
"831865669788528641","","","2017-02-15 14:00:05 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Last of Sri Lanka's Burgher Ladies: `Burgher people, also known simply as Burghers, are a Eurasian ethnic group... https://t.co/0DxQQQXzbY","","","","http://fb.me/19QiFqhRx"
"831797612277854208","","","2017-02-15 09:29:39 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Michael also encountered some Korean-Mexicans who professed that they identified more with Yucatec Mayan culture... https://t.co/h47SIWk2Nq","","","","http://fb.me/81k7JrTMa"
"831796101250482176","","","2017-02-15 09:23:39 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @rushay: The Forgotten History Of The Koreans Of Mexico And Cuba https://t.co/Bu4fGHwRvn","831730245581602820","15195501","2017-02-15 05:01:58 +0000","http://flip.it/IPO1I1,http://flip.it/IPO1I1"
"831729762506776576","","","2017-02-15 05:00:02 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Mixing Through the Ages: Immigration: `""Give me your tired, your poor, Your huddled masses yearning to breathe... https://t.co/EFdXSG52TV","","","","http://fb.me/1tvSMLfVY"
"831639138814271490","","","2017-02-14 22:59:56 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Blackenese: `What's In A Name? Blackenese: Cultural terms that refer to people of mixed Sub-Saharan African or... https://t.co/n1tMyAmKLg","","","","http://fb.me/5WbQW0uOf"
"831457956885626880","","","2017-02-14 10:59:59 +0000","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MIDS Bookshop: `The MIDS Bookshop has books for children asking the eternal mixed race/heritage questions. You... https://t.co/tRNGVBzzmo","","","","http://fb.me/8mcTRzyQI"
